p,timestamp,y,yhat,yhat_smooth,yhat_threshold,p_threshold,hmm_pred
0.4,2015-02-28 11:31:48,None,2_gal_north,1_class_lezin,1_entrance,0.2,1_entrance
0.7,2015-02-28 11:31:52,None,1_class_lezin,1_class_lezin,1_class_lezin,0.7,1_lobby_aud
0.7,2015-02-28 11:31:53,None,1_class_lezin,1_class_lezin,1_class_lezin,0.7,1_class_lezin
0.7,2015-02-28 11:31:54,None,1_class_lezin,1_class_lezin,1_class_lezin,0.7,1_class_lezin
0.7,2015-02-28 11:31:55,None,1_class_lezin,1_class_lezin,1_class_lezin,0.7,1_class_lezin
1.0,2015-02-28 11:31:56,None,1_class_lezin,1_class_lezin,1_class_lezin,1.0,1_class_lezin
1.0,2015-02-28 11:31:57,None,1_class_lezin,1_class_lezin,1_class_lezin,1.0,1_class_lezin
0.9,2015-02-28 11:31:58,None,1_class_lezin,1_class_lezin,1_class_lezin,0.9,1_class_lezin
0.7,2015-02-28 11:31:59,None,2_gal_south,1_class_lezin,2_gal_south,0.7,1_class_lezin
0.4,2015-02-28 11:32:00,None,2_gal_north,1_class_lezin,2_gal_south,0.2,1_class_lezin
0.7,2015-02-28 11:32:01,None,2_gal_south,1_class_lezin,2_gal_south,0.7,1_class_lezin
0.7,2015-02-28 11:32:02,None,2_gal_south,1_class_lezin,2_gal_south,0.7,1_class_lezin
0.4,2015-02-28 11:32:03,None,2_gal_north,1_class_lezin,2_gal_south,0.2,1_class_lezin
0.6,2015-02-28 11:32:04,None,2_gal_south,1_class_lezin,2_gal_south,0.2,1_class_lezin
0.6,2015-02-28 11:32:05,None,2_gal_south,1_class_lezin,2_gal_south,0.2,1_class_lezin
0.8,2015-02-28 11:32:06,None,2_gal_south,1_class_lezin,2_gal_south,0.8,1_class_lezin
1.0,2015-02-28 11:32:07,None,2_gal_south,1_class_lezin,2_gal_south,1.0,1_class_lezin
1.0,2015-02-28 11:32:08,None,2_gal_south,1_class_lezin,2_gal_south,1.0,1_class_lezin
0.9,2015-02-28 11:32:09,None,2_gal_south,1_class_lezin,2_gal_south,0.9,1_class_lezin
0.9,2015-02-28 11:32:10,None,2_gal_south,1_class_lezin,2_gal_south,0.9,1_class_lezin
1.0,2015-02-28 11:32:11,None,2_gal_south,1_class_lezin,2_gal_south,1.0,1_class_lezin
0.6,2015-02-28 11:32:12,None,2_gal_south,1_class_lezin,2_gal_south,0.2,1_class_lezin
0.8,2015-02-28 11:32:13,None,2_gal_south,1_class_lezin,2_gal_south,0.8,1_class_lezin
0.5,2015-02-28 11:32:14,None,2_gal_north,1_class_lezin,2_gal_south,0.2,1_class_lezin
0.5,2015-02-28 11:32:15,None,2_gal_north,1_class_lezin,2_gal_south,0.2,1_class_lezin
0.7,2015-02-28 11:32:16,None,2_gal_south,1_class_lezin,2_gal_south,0.7,1_class_lezin
0.5,2015-02-28 11:32:17,None,1_class_lezin,1_class_lezin,2_gal_south,0.2,1_class_lezin
0.5,2015-02-28 11:32:18,None,1_class_lezin,1_class_lezin,2_gal_south,0.2,1_class_lezin
1.0,2015-02-28 11:32:19,None,2_gal_south,1_class_lezin,2_gal_south,1.0,1_class_lezin
0.6,2015-02-28 11:32:20,None,2_gal_south,1_class_lezin,2_gal_south,0.2,1_class_lezin
0.5,2015-02-28 11:32:21,None,2_gal_south,1_class_lezin,2_gal_south,0.2,1_class_lezin
0.5,2015-02-28 11:32:22,None,2_gal_north,1_class_lezin,2_gal_south,0.2,1_class_lezin
0.7,2015-02-28 11:32:23,None,2_gal_south,1_class_lezin,2_gal_south,0.7,1_class_lezin
0.6,2015-02-28 11:32:24,None,2_gal_south,2_gal_south,2_gal_south,0.2,1_class_lezin
0.6,2015-02-28 11:32:25,None,2_gal_south,2_gal_south,2_gal_south,0.2,1_class_lezin
0.5,2015-02-28 11:32:26,None,2_gal_north,2_gal_south,2_gal_south,0.2,1_class_lezin
0.6,2015-02-28 11:32:27,None,2_gal_south,2_gal_south,2_gal_south,0.2,1_class_lezin
1.0,2015-02-28 11:32:28,None,2_gal_south,1_class_lezin,2_gal_south,1.0,1_class_lezin
0.7,2015-02-28 11:32:29,None,2_gal_south,2_gal_north,2_gal_south,0.7,1_class_lezin
0.6,2015-02-28 11:32:30,None,2_gal_south,2_gal_south,2_gal_south,0.2,1_class_lezin
0.6,2015-02-28 11:32:31,None,1_class_lezin,1_class_lezin,1_class_lezin,0.2,1_class_lezin
0.4,2015-02-28 11:32:32,None,2_gal_north,2_gal_south,1_class_lezin,0.2,1_class_lezin
0.4,2015-02-28 11:32:33,None,2_gal_north,2_gal_south,1_class_lezin,0.2,1_class_lezin
0.7,2015-02-28 11:32:34,None,2_gal_south,1_class_lezin,2_gal_south,0.7,1_class_lezin
0.9,2015-02-28 11:32:35,None,2_gal_south,1_class_lezin,2_gal_south,0.9,1_class_lezin
0.4,2015-02-28 11:32:36,None,2_gal_north,1_class_lezin,2_gal_south,0.2,1_class_lezin
0.8,2015-02-28 11:32:37,None,1_class_lezin,1_class_lezin,1_class_lezin,0.8,1_class_lezin
0.8,2015-02-28 11:32:38,None,1_class_lezin,1_class_lezin,1_class_lezin,0.8,1_class_lezin
1.0,2015-02-28 11:32:39,None,1_class_lezin,1_class_lezin,1_class_lezin,1.0,1_class_lezin
1.0,2015-02-28 11:32:40,None,1_class_lezin,1_class_lezin,1_class_lezin,1.0,1_class_lezin
0.8,2015-02-28 11:32:41,None,1_class_lezin,1_class_lezin,1_class_lezin,0.8,1_class_lezin
0.9,2015-02-28 11:32:42,None,1_class_lezin,1_class_lezin,1_class_lezin,0.9,1_class_lezin
1.0,2015-02-28 11:32:43,None,1_class_lezin,1_class_lezin,1_class_lezin,1.0,1_class_lezin
0.9,2015-02-28 11:32:44,None,1_class_lezin,1_class_lezin,1_class_lezin,0.9,1_class_lezin
0.9,2015-02-28 11:32:45,None,1_class_lezin,1_class_lezin,1_class_lezin,0.9,1_class_lezin
0.9,2015-02-28 11:32:46,None,1_class_lezin,1_class_lezin,1_class_lezin,0.9,1_class_lezin
0.8,2015-02-28 11:32:47,None,1_class_lezin,2_gal_south,1_class_lezin,0.8,1_class_lezin
0.8,2015-02-28 11:32:48,None,1_class_lezin,2_gal_south,1_class_lezin,0.8,1_class_lezin
1.0,2015-02-28 11:32:49,None,1_class_lezin,2_gal_south,1_class_lezin,1.0,1_class_lezin
1.0,2015-02-28 11:32:50,None,1_class_lezin,2_gal_south,1_class_lezin,1.0,1_class_lezin
1.0,2015-02-28 11:32:51,None,1_class_lezin,2_gal_south,1_class_lezin,1.0,1_class_lezin
1.0,2015-02-28 11:32:52,None,1_class_lezin,1_class_lezin,1_class_lezin,1.0,1_class_lezin
1.0,2015-02-28 11:32:53,None,1_class_lezin,1_class_lezin,1_class_lezin,1.0,1_class_lezin
1.0,2015-02-28 11:32:54,None,1_class_lezin,1_class_lezin,1_class_lezin,1.0,1_class_lezin
0.8,2015-02-28 11:32:55,None,1_class_lezin,1_class_lezin,1_class_lezin,0.8,1_class_lezin
0.8,2015-02-28 11:32:56,None,1_class_lezin,2_gal_south,1_class_lezin,0.8,1_class_lezin
0.9,2015-02-28 11:32:57,None,1_class_lezin,2_gal_south,1_class_lezin,0.9,1_class_lezin
0.9,2015-02-28 11:32:58,None,1_class_lezin,1_class_lezin,1_class_lezin,0.9,1_class_lezin
1.0,2015-02-28 11:32:59,None,1_class_lezin,2_gal_south,1_class_lezin,1.0,1_class_lezin
0.9,2015-02-28 11:33:00,None,1_class_lezin,2_gal_south,1_class_lezin,0.9,1_class_lezin
1.0,2015-02-28 11:33:01,None,1_class_lezin,2_gal_south,1_class_lezin,1.0,1_class_lezin
1.0,2015-02-28 11:33:02,None,1_class_lezin,2_gal_south,1_class_lezin,1.0,1_class_lezin
1.0,2015-02-28 11:33:03,None,1_class_lezin,2_gal_south,1_class_lezin,1.0,1_class_lezin
0.8,2015-02-28 11:33:04,None,1_class_lezin,2_gal_south,1_class_lezin,0.8,1_class_lezin
0.8,2015-02-28 11:33:05,None,1_class_lezin,1_class_lezin,1_class_lezin,0.8,1_class_lezin
0.8,2015-02-28 11:33:06,None,1_class_lezin,2_gal_south,1_class_lezin,0.8,1_class_lezin
1.0,2015-02-28 11:33:07,None,1_class_lezin,2_gal_south,1_class_lezin,1.0,1_class_lezin
0.8,2015-02-28 11:33:08,None,1_class_lezin,2_gal_south,1_class_lezin,0.8,1_class_lezin
0.8,2015-02-28 11:33:09,None,1_class_lezin,1_class_lezin,1_class_lezin,0.8,1_class_lezin
0.9,2015-02-28 11:33:10,None,1_class_lezin,1_class_lezin,1_class_lezin,0.9,1_class_lezin
0.8,2015-02-28 11:33:11,None,1_class_lezin,1_class_lezin,1_class_lezin,0.8,1_class_lezin
1.0,2015-02-28 11:33:12,None,1_class_lezin,2_gal_south,1_class_lezin,1.0,1_class_lezin
0.8,2015-02-28 11:33:13,None,1_class_lezin,1_class_lezin,1_class_lezin,0.8,1_class_lezin
0.7,2015-02-28 11:33:14,None,2_gal_south,1_class_lezin,2_gal_south,0.7,1_class_lezin
0.6,2015-02-28 11:33:15,None,2_gal_south,1_class_lezin,2_gal_south,0.2,1_class_lezin
0.6,2015-02-28 11:33:16,None,2_gal_south,2_gal_south,2_gal_south,0.2,1_class_lezin
0.6,2015-02-28 11:33:17,None,2_gal_south,1_class_lezin,2_gal_south,0.2,1_class_lezin
0.5,2015-02-28 11:33:18,None,1_class_lezin,1_class_lezin,2_gal_south,0.2,1_class_lezin
0.5,2015-02-28 11:33:19,None,2_gal_north,1_class_lezin,2_gal_south,0.2,1_class_lezin
0.6,2015-02-28 11:33:20,None,2_gal_south,1_class_lezin,2_gal_south,0.2,1_class_lezin
0.7,2015-02-28 11:33:21,None,1_class_lezin,1_class_lezin,1_class_lezin,0.7,1_class_lezin
0.4,2015-02-28 11:33:22,None,2_gal_south,1_class_lezin,1_class_lezin,0.2,1_class_lezin
0.4,2015-02-28 11:33:23,None,2_gal_south,1_class_lezin,1_class_lezin,0.2,1_class_lezin
1.0,2015-02-28 11:33:24,None,1_class_lezin,1_class_lezin,1_class_lezin,1.0,1_class_lezin
0.8,2015-02-28 11:33:25,None,1_class_lezin,1_class_lezin,1_class_lezin,0.8,1_class_lezin
