,location,timestamp,11057,12724,13846,28873,31853,34946,38215,40399,47682,visitor_history_id,12647,19896,38591
0,none,2015-02-17 10:17:41,500,500,500,83,500,87,81,81,86,24537,500,500,500
1,none,2015-02-17 10:17:42,500,500,500,100,500,87,84,82,100,24537,500,500,500
2,none,2015-02-17 10:17:43,500,500,500,100,500,100,89,80,100,24537,500,500,500
3,none,2015-02-17 10:17:44,500,500,500,100,500,87,87,81,100,24537,500,500,500
4,1_entrance,2015-02-17 10:17:45,500,500,500,100,500,87,84,82,87,24537,500,500,500
5,1_entrance,2015-02-17 10:17:46,500,500,500,100,500,100,87,81,85,24537,500,500,500
6,1_entrance,2015-02-17 10:17:47,500,500,87,100,500,100,87,82,84,24537,500,500,500
7,1_entrance,2015-02-17 10:17:48,500,500,87,100,500,100,87,83,86,24537,500,500,500
8,1_entrance,2015-02-17 10:17:49,500,500,100,85,500,100,83,79,87,24537,500,500,500
9,1_entrance,2015-02-17 10:17:50,500,500,100,85,500,87,82,78,100,24537,500,500,500
10,1_entrance,2015-02-17 10:17:51,500,500,100,100,500,87,80,81,100,24537,500,500,500
11,1_entrance,2015-02-17 10:17:52,500,500,100,100,500,100,80,83,87,24537,500,500,500
12,1_entrance,2015-02-17 10:17:53,500,500,100,100,500,100,82,81,100,24537,500,500,500
13,1_entrance,2015-02-17 10:17:54,88,500,100,87,500,88,85,84,88,24537,500,500,500
14,1_entrance,2015-02-17 10:17:55,88,500,88,100,500,100,79,85,88,24537,500,500,500
15,1_entrance,2015-02-17 10:17:56,100,500,88,100,500,82,78,85,100,24537,500,500,500
16,1_entrance,2015-02-17 10:17:57,100,500,100,100,500,100,79,87,100,24537,500,500,500
17,1_entrance,2015-02-17 10:17:58,100,500,100,100,500,100,79,87,100,24537,500,500,500
18,1_entrance,2015-02-17 10:17:59,100,500,100,88,500,100,82,82,100,24537,500,500,500
19,1_entrance,2015-02-17 10:18:00,100,500,100,89,500,100,81,81,100,24537,500,500,500
20,1_entrance,2015-02-17 10:18:01,100,500,100,100,500,100,78,80,100,24537,500,500,500
21,1_entrance,2015-02-17 10:18:02,100,500,100,100,500,83,77,82,100,24537,500,500,500
22,1_entrance,2015-02-17 10:18:03,100,500,100,100,500,83,77,85,100,24537,500,500,500
23,1_entrance,2015-02-17 10:18:04,500,500,100,100,500,87,78,87,500,24537,500,500,500
24,1_entrance,2015-02-17 10:18:05,500,500,500,100,500,85,79,84,500,24537,500,500,500
25,1_entrance,2015-02-17 10:18:06,500,500,500,100,500,85,85,82,88,24537,500,500,500
26,1_entrance,2015-02-17 10:18:07,500,500,500,88,87,87,82,79,100,24537,500,500,500
27,1_entrance,2015-02-17 10:18:08,500,500,500,88,87,87,81,80,88,24537,500,500,500
28,1_entrance,2015-02-17 10:18:09,500,500,500,85,100,88,83,79,87,24537,500,500,500
29,1_entrance,2015-02-17 10:18:10,500,500,500,85,100,86,85,78,86,24537,500,500,500
30,1_entrance,2015-02-17 10:18:11,500,500,500,89,100,84,85,78,86,24537,500,500,500
31,1_entrance,2015-02-17 10:18:12,500,500,500,88,100,100,86,86,86,24537,500,500,500
32,1_entrance,2015-02-17 10:18:13,500,500,500,88,100,100,87,82,87,24537,500,500,500
33,1_entrance,2015-02-17 10:18:14,500,500,500,87,100,100,86,84,88,24537,500,500,500
34,1_entrance,2015-02-17 10:18:15,500,500,500,100,100,83,85,87,87,24537,500,500,500
35,1_entrance,2015-02-17 10:18:16,500,500,500,88,100,100,85,85,85,24537,500,500,500
36,1_entrance,2015-02-17 10:18:17,500,500,500,88,500,100,85,84,86,24537,500,500,500
37,1_entrance,2015-02-17 10:18:18,500,500,500,100,500,100,85,85,86,24537,500,500,500
38,1_entrance,2015-02-17 10:18:19,500,500,500,100,500,87,80,82,83,24537,500,500,500
39,1_entrance,2015-02-17 10:18:20,500,500,500,100,500,100,79,84,84,24537,500,500,500
40,1_entrance,2015-02-17 10:18:21,500,500,500,100,500,100,80,84,88,24537,500,500,500
41,1_entrance,2015-02-17 10:18:22,500,500,500,88,500,100,82,81,88,24537,500,500,500
42,1_entrance,2015-02-17 10:18:23,500,500,500,88,500,100,80,80,100,24537,500,500,500
43,1_entrance,2015-02-17 10:18:24,500,500,500,100,500,87,79,86,100,24537,500,500,500
44,1_entrance,2015-02-17 10:18:25,500,500,500,100,500,87,80,82,100,24537,500,500,500
45,1_entrance,2015-02-17 10:18:26,500,500,500,100,500,100,79,81,100,24537,500,500,500
46,1_entrance,2015-02-17 10:18:27,500,500,500,100,500,100,80,80,100,24537,500,500,500
47,1_entrance,2015-02-17 10:18:28,500,500,500,100,500,100,80,78,100,24537,500,500,500
48,1_entrance,2015-02-17 10:18:29,500,500,500,100,500,86,77,76,100,24537,500,500,500
49,1_entrance,2015-02-17 10:18:30,500,500,500,100,500,82,85,74,88,24537,500,500,500
50,1_entrance,2015-02-17 10:18:31,500,500,500,88,500,83,87,77,100,24537,500,500,500
51,1_entrance,2015-02-17 10:18:32,500,500,500,85,500,85,86,79,84,24537,500,500,500
52,1_entrance,2015-02-17 10:18:33,500,500,500,83,500,84,88,80,85,24537,500,500,500
53,1_entrance,2015-02-17 10:18:34,500,500,500,88,500,100,84,80,88,24537,500,500,500
54,1_entrance,2015-02-17 10:18:35,500,500,500,100,500,100,81,81,100,24537,500,500,500
55,1_entrance,2015-02-17 10:18:36,500,500,500,100,500,100,85,79,89,24537,500,500,500
56,1_entrance,2015-02-17 10:18:37,500,500,500,100,500,100,82,79,100,24537,500,500,500
57,1_entrance,2015-02-17 10:18:38,500,500,500,100,500,84,81,77,100,24537,500,500,500
58,1_entrance,2015-02-17 10:18:39,86,500,500,87,500,100,82,76,100,24537,500,500,500
59,1_entrance,2015-02-17 10:18:40,86,500,500,86,500,81,80,78,100,24537,500,500,500
60,1_entrance,2015-02-17 10:18:41,100,500,500,100,500,100,81,84,100,24537,500,500,500
61,none,2015-02-17 10:18:42,80,500,500,100,500,89,82,84,100,24537,500,500,500
62,none,2015-02-17 10:18:43,80,500,500,100,500,85,86,86,100,24537,500,500,500
63,none,2015-02-17 10:18:44,84,500,500,100,500,79,86,87,100,24537,500,500,500
64,none,2015-02-17 10:18:45,83,500,500,100,500,100,100,86,100,24537,500,500,500
65,none,2015-02-17 10:18:46,82,500,500,100,500,85,88,83,500,24537,500,500,500
66,none,2015-02-17 10:18:47,81,500,500,89,500,80,88,81,500,24537,500,500,500
67,none,2015-02-17 10:18:48,80,500,500,86,89,78,88,85,89,24537,500,500,500
68,none,2015-02-17 10:18:49,100,500,500,83,88,84,88,85,89,24537,500,500,500
69,none,2015-02-17 10:18:50,89,500,500,81,87,84,88,85,100,24537,500,500,500
70,1_lobby_aud,2015-02-17 10:18:51,100,500,500,81,85,80,100,82,100,24537,500,500,500
71,1_lobby_aud,2015-02-17 10:18:52,100,500,500,84,85,81,89,82,100,24537,500,500,500
72,1_lobby_aud,2015-02-17 10:18:53,89,500,500,84,88,80,88,85,89,24537,500,500,500
73,1_lobby_aud,2015-02-17 10:18:54,100,500,500,78,89,79,100,86,100,24537,500,500,500
74,1_lobby_aud,2015-02-17 10:18:55,100,500,500,79,100,83,86,86,84,24537,500,500,500
75,1_lobby_aud,2015-02-17 10:18:56,88,500,500,83,89,84,86,88,85,24537,500,500,500
76,1_lobby_aud,2015-02-17 10:18:57,86,500,500,100,88,83,84,84,100,24537,500,500,500
77,1_lobby_aud,2015-02-17 10:18:58,86,500,500,89,87,75,100,84,100,24537,500,500,500
78,1_lobby_aud,2015-02-17 10:18:59,82,500,500,100,87,78,88,82,100,24537,500,500,500
79,1_lobby_aud,2015-02-17 10:19:00,84,500,500,100,100,83,88,87,100,24537,500,500,500
80,1_lobby_aud,2015-02-17 10:19:01,87,500,500,100,100,83,89,88,100,24537,500,500,500
81,1_lobby_aud,2015-02-17 10:19:02,89,500,500,100,100,73,85,85,100,24537,500,500,500
82,1_lobby_aud,2015-02-17 10:19:03,88,500,500,100,87,67,100,86,100,24537,500,500,500
83,1_lobby_aud,2015-02-17 10:19:04,88,500,500,100,87,75,100,87,100,24537,500,500,500
84,1_lobby_aud,2015-02-17 10:19:05,89,500,500,100,100,75,88,87,100,24537,500,500,500
85,1_lobby_aud,2015-02-17 10:19:06,100,500,500,100,100,79,88,86,500,24537,500,500,500
86,1_lobby_aud,2015-02-17 10:19:07,86,500,500,100,100,81,84,87,500,24537,500,500,500
87,1_lobby_aud,2015-02-17 10:19:08,86,500,500,89,100,82,100,86,500,24537,500,500,500
88,1_lobby_aud,2015-02-17 10:19:09,100,500,500,89,100,73,100,85,500,24537,500,500,500
89,1_lobby_aud,2015-02-17 10:19:10,100,500,500,100,100,71,89,84,500,24537,500,500,500
90,1_lobby_aud,2015-02-17 10:19:11,100,500,500,100,100,73,100,88,500,24537,500,500,500
91,1_lobby_aud,2015-02-17 10:19:12,100,500,500,100,100,74,88,86,500,24537,500,500,500
92,1_lobby_aud,2015-02-17 10:19:13,100,500,500,100,500,73,100,82,500,24537,500,500,500
93,1_lobby_aud,2015-02-17 10:19:14,100,500,500,100,500,77,88,86,500,24537,500,500,500
94,1_lobby_aud,2015-02-17 10:19:15,100,500,500,100,500,75,85,87,500,24537,500,500,500
95,1_lobby_aud,2015-02-17 10:19:16,100,500,500,100,500,79,87,88,500,24537,500,500,500
96,1_lobby_aud,2015-02-17 10:19:17,500,500,500,100,500,81,89,87,500,24537,500,500,500
97,1_lobby_aud,2015-02-17 10:19:18,500,500,500,500,500,69,87,85,500,24537,500,500,500
98,1_lobby_aud,2015-02-17 10:19:19,88,500,500,500,500,66,84,88,500,24537,500,500,500
99,1_lobby_aud,2015-02-17 10:19:20,88,500,500,500,500,60,82,85,500,24537,500,500,500
100,1_lobby_aud,2015-02-17 10:19:21,100,500,500,500,500,81,80,85,500,24537,500,500,500
101,1_lobby_aud,2015-02-17 10:19:22,87,500,500,84,500,85,82,86,88,24537,500,500,500
102,1_lobby_aud,2015-02-17 10:19:23,87,500,500,89,500,72,81,83,100,24537,500,500,500
103,1_lobby_aud,2015-02-17 10:19:24,87,500,500,88,500,77,81,80,89,24537,500,500,500
104,1_lobby_aud,2015-02-17 10:19:25,87,500,500,88,500,72,82,82,89,24537,500,500,500
105,1_lobby_aud,2015-02-17 10:19:26,100,500,500,88,87,73,82,83,84,24537,500,500,500
106,1_lobby_aud,2015-02-17 10:19:27,88,500,500,88,88,74,83,79,84,24537,500,500,500
107,1_lobby_aud,2015-02-17 10:19:28,88,500,500,82,88,84,82,79,88,24537,500,500,500
108,1_lobby_aud,2015-02-17 10:19:29,88,500,500,82,88,78,82,79,86,24537,500,500,500
109,1_lobby_aud,2015-02-17 10:19:30,88,500,500,100,87,77,80,82,86,24537,500,500,500
110,1_lobby_aud,2015-02-17 10:19:31,100,500,500,100,88,83,83,81,84,24537,500,500,500
111,1_lobby_aud,2015-02-17 10:19:32,86,500,500,84,87,85,81,77,85,24537,500,500,500
112,1_lobby_aud,2015-02-17 10:19:33,100,500,500,84,88,100,78,82,87,24537,500,500,500
113,1_lobby_aud,2015-02-17 10:19:34,100,500,500,100,100,87,79,85,100,24537,500,500,500
114,1_lobby_aud,2015-02-17 10:19:35,100,500,500,100,100,87,81,81,100,24537,500,500,500
115,1_lobby_aud,2015-02-17 10:19:36,100,500,500,100,100,84,83,80,100,24537,500,500,500
116,1_lobby_aud,2015-02-17 10:19:37,84,500,500,100,100,81,85,86,100,24537,500,500,500
117,1_lobby_aud,2015-02-17 10:19:38,81,500,500,100,89,77,84,87,89,24537,500,500,500
118,1_lobby_aud,2015-02-17 10:19:39,86,500,500,89,88,75,85,86,89,24537,500,500,500
119,1_lobby_aud,2015-02-17 10:19:40,87,500,500,100,87,89,88,88,88,24537,500,500,500
120,1_lobby_aud,2015-02-17 10:19:41,87,500,500,84,87,75,88,87,87,24537,500,500,500
121,1_lobby_aud,2015-02-17 10:19:42,89,500,500,100,88,100,87,84,88,24537,500,500,500
122,1_lobby_aud,2015-02-17 10:19:43,84,500,500,89,88,81,87,88,88,24537,500,500,500
123,1_lobby_aud,2015-02-17 10:19:44,81,500,500,87,100,78,88,85,100,24537,500,500,500
124,1_lobby_aud,2015-02-17 10:19:45,83,500,500,87,100,81,86,85,100,24537,500,500,500
125,1_lobby_aud,2015-02-17 10:19:46,83,500,500,100,100,83,100,84,100,24537,500,500,500
126,1_lobby_aud,2015-02-17 10:19:47,78,500,500,100,100,85,100,86,100,24537,500,500,500
127,1_lobby_aud,2015-02-17 10:19:48,80,500,500,100,100,85,100,100,100,24537,500,500,500
128,none,2015-02-17 10:19:49,82,500,500,100,100,85,100,100,100,24537,500,500,500
129,none,2015-02-17 10:19:50,79,500,500,100,100,88,100,87,100,24537,500,500,500
130,none,2015-02-17 10:19:51,77,500,500,100,100,83,100,89,100,24537,500,500,500
131,none,2015-02-17 10:19:52,100,500,500,100,500,81,100,100,500,24537,500,500,500
132,none,2015-02-17 10:19:53,81,500,500,100,500,80,100,100,500,24537,500,500,500
133,none,2015-02-17 10:19:54,86,500,500,500,500,80,100,100,500,24537,500,500,500
134,none,2015-02-17 10:19:55,80,500,500,500,500,80,500,100,500,24537,500,500,500
135,none,2015-02-17 10:19:56,77,500,500,500,500,86,500,88,500,24537,500,500,500
136,none,2015-02-17 10:19:57,78,500,500,500,500,86,500,100,500,24537,500,500,500
137,none,2015-02-17 10:19:58,84,500,500,500,500,100,500,89,500,24537,500,500,500
138,1_class_lezin,2015-02-17 10:19:59,100,500,500,500,500,89,500,100,500,24537,500,500,500
139,1_class_lezin,2015-02-17 10:20:00,85,500,500,500,500,89,500,100,500,24537,500,500,500
140,1_class_lezin,2015-02-17 10:20:01,85,500,500,500,500,81,500,100,500,24537,500,500,500
141,1_class_lezin,2015-02-17 10:20:02,89,500,500,500,500,81,500,100,500,24537,500,500,500
142,1_class_lezin,2015-02-17 10:20:03,89,500,500,500,500,71,500,100,500,24537,500,500,500
143,1_class_lezin,2015-02-17 10:20:04,100,500,500,500,500,76,500,89,500,24537,500,500,500
144,1_class_lezin,2015-02-17 10:20:05,100,500,500,500,500,70,500,89,500,24537,500,500,500
145,1_class_lezin,2015-02-17 10:20:06,81,500,500,500,500,75,500,88,500,24537,500,500,500
146,1_class_lezin,2015-02-17 10:20:07,81,500,500,500,500,100,500,88,500,24537,500,500,500
147,1_class_lezin,2015-02-17 10:20:08,82,500,500,500,500,83,500,84,500,24537,500,500,500
148,1_class_lezin,2015-02-17 10:20:09,85,500,500,89,500,80,500,84,500,24537,500,500,500
149,1_class_lezin,2015-02-17 10:20:10,88,500,500,88,500,73,500,88,500,24537,500,500,500
150,1_class_lezin,2015-02-17 10:20:11,89,500,500,88,87,86,500,88,500,24537,500,500,500
151,1_class_lezin,2015-02-17 10:20:12,79,500,500,100,87,86,88,89,500,24537,500,500,500
152,1_class_lezin,2015-02-17 10:20:13,79,500,500,100,100,100,88,88,500,24537,500,500,500
153,1_class_lezin,2015-02-17 10:20:14,79,500,500,100,100,78,89,89,500,24537,500,500,500
154,1_class_lezin,2015-02-17 10:20:15,100,500,500,100,100,78,100,87,500,24537,500,500,500
155,1_class_lezin,2015-02-17 10:20:16,85,500,500,100,100,76,100,87,500,24537,500,500,500
156,1_class_lezin,2015-02-17 10:20:17,100,500,500,100,100,78,100,88,500,24537,500,500,500
157,1_class_lezin,2015-02-17 10:20:18,75,500,500,100,100,79,100,88,500,24537,500,500,500
158,1_class_lezin,2015-02-17 10:20:19,78,500,500,100,100,79,100,100,500,24537,500,500,500
159,1_class_lezin,2015-02-17 10:20:20,78,500,500,500,100,78,100,89,500,24537,500,500,500
160,1_class_lezin,2015-02-17 10:20:21,82,500,500,500,500,79,100,89,500,24537,500,500,500
161,1_class_lezin,2015-02-17 10:20:22,81,500,500,500,500,80,100,89,500,24537,500,500,500
162,1_class_lezin,2015-02-17 10:20:23,81,500,500,500,500,82,100,100,500,24537,500,500,500
163,1_class_lezin,2015-02-17 10:20:24,81,500,500,500,500,86,500,89,500,24537,500,500,500
164,1_class_lezin,2015-02-17 10:20:25,82,500,500,500,500,100,500,100,500,24537,500,500,500
165,1_class_lezin,2015-02-17 10:20:26,100,500,500,500,500,100,500,100,500,24537,500,500,500
166,1_class_lezin,2015-02-17 10:20:27,88,500,500,500,500,100,500,100,500,24537,500,500,500
167,1_class_lezin,2015-02-17 10:20:28,82,500,500,500,500,84,500,100,500,24537,500,500,500
168,1_class_lezin,2015-02-17 10:20:29,77,500,500,500,500,100,500,100,500,24537,500,500,500
169,1_class_lezin,2015-02-17 10:20:30,100,500,500,500,500,87,500,100,500,24537,500,500,500
170,1_class_lezin,2015-02-17 10:20:31,100,500,500,500,500,86,500,100,500,24537,500,500,500
171,1_class_lezin,2015-02-17 10:20:32,78,500,500,500,500,86,500,100,500,24537,500,500,500
172,1_class_lezin,2015-02-17 10:20:33,78,500,500,500,500,83,500,100,500,24537,500,500,500
173,1_class_lezin,2015-02-17 10:20:34,86,500,500,500,500,82,500,500,500,24537,500,500,500
174,1_class_lezin,2015-02-17 10:20:35,81,500,500,500,500,87,500,500,500,24537,500,500,500
175,1_class_lezin,2015-02-17 10:20:36,78,500,500,500,500,89,500,500,500,24537,500,500,500
176,1_class_lezin,2015-02-17 10:20:37,100,500,500,500,500,77,500,87,500,24537,500,500,500
177,1_class_lezin,2015-02-17 10:20:38,84,500,500,500,500,77,500,87,500,24537,500,500,500
178,1_class_lezin,2015-02-17 10:20:39,85,500,500,500,500,82,500,100,500,24537,500,500,500
179,1_class_lezin,2015-02-17 10:20:40,87,500,500,500,500,77,88,100,500,24537,500,500,500
180,1_class_lezin,2015-02-17 10:20:41,100,500,500,500,500,79,100,100,500,24537,500,500,500
181,1_class_lezin,2015-02-17 10:20:42,85,500,500,500,500,85,100,85,500,24537,500,500,500
182,1_class_lezin,2015-02-17 10:20:43,88,500,500,500,500,100,100,85,500,24537,500,500,500
183,1_class_lezin,2015-02-17 10:20:44,87,500,500,500,500,82,100,87,500,24537,500,500,500
184,1_class_lezin,2015-02-17 10:20:45,84,500,500,500,89,100,100,87,500,24537,500,500,500
185,1_class_lezin,2015-02-17 10:20:46,83,500,500,500,100,79,100,100,500,24537,500,500,500
186,1_class_lezin,2015-02-17 10:20:47,83,500,500,500,100,74,100,88,500,24537,500,500,500
187,1_class_lezin,2015-02-17 10:20:48,82,500,500,500,100,75,100,100,500,24537,500,500,500
188,1_class_lezin,2015-02-17 10:20:49,81,500,500,500,88,82,100,88,500,24537,500,500,500
189,none,2015-02-17 10:20:50,79,500,500,500,88,76,500,88,500,24537,500,500,500
190,none,2015-02-17 10:20:51,100,500,500,500,87,79,500,87,500,24537,500,500,500
191,none,2015-02-17 10:20:52,87,500,500,79,88,80,87,82,88,24537,500,500,500
192,none,2015-02-17 10:20:53,87,500,500,80,100,77,87,81,88,24537,500,500,500
193,none,2015-02-17 10:20:54,100,500,500,85,85,75,80,82,87,24537,500,500,500
194,none,2015-02-17 10:20:55,100,500,500,89,86,83,82,80,86,24537,500,500,500
195,none,2015-02-17 10:20:56,100,500,500,100,100,89,81,80,100,24537,500,500,500
196,none,2015-02-17 10:20:57,100,500,500,100,100,100,81,77,100,24537,500,500,500
