,location,timestamp,11057,13846,28873,31853,34946,38215,40399,47682,visitor_history_id,12647,12724,19896,38591
0,none,2015-02-17 10:27:30,100,93,90,100,100,75,87,92,30946,500,500,500,500
1,none,2015-02-17 10:27:31,100,100,90,100,100,100,80,93,30946,500,500,500,500
2,none,2015-02-17 10:27:32,100,100,90,100,87,79,79,90,30946,500,500,500,500
3,none,2015-02-17 10:27:33,95,100,90,100,87,79,100,90,30946,500,500,500,500
4,none,2015-02-17 10:27:34,100,92,88,100,87,79,100,90,30946,500,500,500,500
5,none,2015-02-17 10:27:35,100,92,100,100,93,79,78,90,30946,500,500,500,500
6,none,2015-02-17 10:27:36,86,100,88,100,88,77,79,86,30946,500,500,500,500
7,none,2015-02-17 10:27:37,100,100,100,100,86,75,83,82,30946,500,500,500,500
8,none,2015-02-17 10:27:38,89,100,100,100,86,89,85,86,30946,500,500,500,500
9,none,2015-02-17 10:27:39,89,100,84,100,78,87,88,82,30946,500,500,500,500
10,none,2015-02-17 10:27:40,100,100,87,100,79,83,84,81,30946,500,500,500,500
11,none,2015-02-17 10:27:41,100,100,100,100,86,82,89,83,30946,500,500,500,500
12,none,2015-02-17 10:27:42,100,100,86,500,83,84,81,83,30946,500,500,500,500
13,none,2015-02-17 10:27:43,100,100,86,500,100,86,81,87,30946,500,500,500,500
14,none,2015-02-17 10:27:44,100,500,100,500,100,82,83,85,30946,500,500,500,500
15,none,2015-02-17 10:27:45,100,500,100,500,100,84,85,85,30946,500,500,500,500
16,none,2015-02-17 10:27:46,100,500,100,500,100,84,84,84,30946,500,500,500,500
17,none,2015-02-17 10:27:47,100,500,100,500,100,84,84,84,30946,500,500,500,500
18,none,2015-02-17 10:27:49,500,500,87,500,100,87,100,84,30946,500,500,500,500
19,none,2015-02-17 10:27:49,500,500,87,500,100,87,100,84,30946,500,500,500,500
20,none,2015-02-17 10:27:50,500,500,87,500,100,85,86,82,30946,500,500,500,500
21,none,2015-02-17 10:27:51,500,86,100,500,85,80,84,83,30946,500,500,500,500
22,none,2015-02-17 10:27:52,500,86,100,500,85,79,77,84,30946,500,500,500,500
23,none,2015-02-17 10:27:53,500,100,100,500,87,83,76,84,30946,500,500,500,500
24,none,2015-02-17 10:27:54,500,100,87,500,88,83,83,86,30946,500,500,500,500
25,none,2015-02-17 10:27:55,500,100,85,500,100,83,82,86,30946,500,500,500,500
26,1_entrance,2015-02-17 10:27:56,500,100,100,88,100,86,84,84,30946,500,500,500,500
27,1_entrance,2015-02-17 10:27:57,500,100,100,88,100,87,83,84,30946,500,500,500,500
28,1_entrance,2015-02-17 10:27:58,500,100,100,100,100,84,82,100,30946,500,500,500,500
29,1_entrance,2015-02-17 10:27:59,500,100,100,100,100,84,83,100,30946,500,500,500,500
30,1_entrance,2015-02-17 10:28:00,500,100,100,100,100,85,86,100,30946,500,500,500,500
31,1_entrance,2015-02-17 10:28:01,500,500,100,100,100,88,85,100,30946,500,500,500,500
32,1_entrance,2015-02-17 10:28:02,500,500,100,100,100,82,84,100,30946,500,500,500,500
33,1_entrance,2015-02-17 10:28:03,500,500,100,100,500,82,82,100,30946,500,500,500,500
34,1_entrance,2015-02-17 10:28:04,500,500,100,100,500,76,84,100,30946,500,500,500,500
35,1_entrance,2015-02-17 10:28:05,500,500,500,100,89,71,84,100,30946,500,500,500,500
36,1_entrance,2015-02-17 10:28:06,500,500,500,500,88,72,85,500,30946,500,500,500,500
37,1_entrance,2015-02-17 10:28:07,500,500,500,500,87,78,86,500,30946,500,500,500,500
38,1_entrance,2015-02-17 10:28:08,500,500,500,500,85,81,84,500,30946,500,500,500,500
39,1_entrance,2015-02-17 10:28:09,500,500,500,500,100,80,84,500,30946,500,500,500,500
40,1_entrance,2015-02-17 10:28:10,500,500,500,500,84,74,85,500,30946,500,500,500,500
41,1_entrance,2015-02-17 10:28:11,500,500,500,500,85,77,82,500,30946,500,500,500,500
42,1_entrance,2015-02-17 10:28:12,500,500,500,500,86,78,78,500,30946,500,500,500,500
43,1_entrance,2015-02-17 10:28:13,500,500,89,500,100,81,80,87,30946,500,500,500,500
44,1_entrance,2015-02-17 10:28:14,500,500,89,500,100,83,80,87,30946,500,500,500,500
45,1_entrance,2015-02-17 10:28:15,500,500,100,500,100,85,78,87,30946,500,500,500,500
46,1_entrance,2015-02-17 10:28:16,88,500,100,500,84,83,80,86,30946,500,500,500,500
47,1_entrance,2015-02-17 10:28:17,100,500,100,500,86,81,87,89,30946,500,500,500,500
48,1_entrance,2015-02-17 10:28:18,100,500,100,500,88,84,84,85,30946,500,500,500,500
49,1_entrance,2015-02-17 10:28:19,100,500,89,500,88,87,80,82,30946,500,500,500,500
50,1_entrance,2015-02-17 10:28:20,100,500,85,500,100,87,78,83,30946,500,500,500,500
51,1_entrance,2015-02-17 10:28:21,100,500,100,500,100,88,82,81,30946,500,500,500,500
52,1_entrance,2015-02-17 10:28:22,100,500,100,500,100,86,83,85,30946,500,500,500,500
53,1_entrance,2015-02-17 10:28:23,100,500,100,500,86,88,84,85,30946,500,500,500,500
54,1_entrance,2015-02-17 10:28:24,100,500,100,500,100,87,84,87,30946,500,500,500,500
55,1_entrance,2015-02-17 10:28:25,100,500,100,500,100,86,86,100,30946,500,500,500,500
56,1_entrance,2015-02-17 10:28:26,500,500,100,500,100,87,86,100,30946,500,500,500,500
57,1_entrance,2015-02-17 10:28:27,500,500,100,500,100,86,87,100,30946,500,500,500,500
58,1_entrance,2015-02-17 10:28:28,500,500,100,500,100,85,86,100,30946,500,500,500,500
59,1_entrance,2015-02-17 10:28:29,500,500,100,500,100,87,85,100,30946,500,500,500,500
60,1_entrance,2015-02-17 10:28:30,500,500,500,500,100,86,84,100,30946,500,500,500,500
61,1_entrance,2015-02-17 10:28:31,500,500,500,500,100,86,83,100,30946,500,500,500,500
62,1_entrance,2015-02-17 10:28:32,500,500,500,500,100,85,81,100,30946,500,500,500,500
63,1_entrance,2015-02-17 10:28:33,500,500,86,500,500,83,86,100,30946,500,500,500,500
64,1_entrance,2015-02-17 10:28:34,500,500,86,500,500,81,84,500,30946,500,500,500,500
65,1_entrance,2015-02-17 10:28:35,500,500,100,500,500,80,84,500,30946,500,500,500,500
66,1_entrance,2015-02-17 10:28:36,500,500,100,500,500,82,82,500,30946,500,500,500,500
67,1_entrance,2015-02-17 10:28:37,500,500,100,500,500,80,84,500,30946,500,500,500,500
68,1_entrance,2015-02-17 10:28:38,500,500,100,500,500,80,86,500,30946,500,500,500,500
69,1_entrance,2015-02-17 10:28:39,500,500,100,500,500,81,82,500,30946,500,500,500,500
70,1_entrance,2015-02-17 10:28:40,500,500,100,500,500,80,83,500,30946,500,500,500,500
71,1_entrance,2015-02-17 10:28:41,500,500,87,500,500,76,83,500,30946,500,500,500,500
72,1_entrance,2015-02-17 10:28:42,500,500,100,500,500,78,87,500,30946,500,500,500,500
73,1_entrance,2015-02-17 10:28:43,500,500,100,500,87,80,85,500,30946,500,500,500,500
74,1_entrance,2015-02-17 10:28:44,500,500,100,500,100,78,85,500,30946,500,500,500,500
75,1_entrance,2015-02-17 10:28:45,500,500,100,500,88,79,83,500,30946,500,500,500,500
76,none,2015-02-17 10:28:46,500,500,100,500,100,79,86,500,30946,500,500,500,500
77,none,2015-02-17 10:28:47,500,500,89,500,100,79,81,500,30946,500,500,500,500
78,none,2015-02-17 10:28:48,89,500,89,500,86,82,81,500,30946,500,500,500,500
79,none,2015-02-17 10:28:49,89,500,100,500,83,84,81,500,30946,500,500,500,500
80,none,2015-02-17 10:28:50,100,500,100,500,81,82,81,500,30946,500,500,500,500
81,none,2015-02-17 10:28:51,100,500,89,88,84,84,79,500,30946,500,500,500,500
82,none,2015-02-17 10:28:52,100,500,89,100,89,80,80,500,30946,500,500,500,500
83,none,2015-02-17 10:28:53,100,500,100,88,87,81,84,500,30946,500,500,500,500
84,none,2015-02-17 10:28:54,100,500,86,100,87,82,84,500,30946,500,500,500,500
85,none,2015-02-17 10:28:55,100,500,86,87,82,84,84,89,30946,500,500,500,500
86,1_lobby_aud,2015-02-17 10:28:56,100,500,87,89,84,85,85,89,30946,500,500,500,500
87,1_lobby_aud,2015-02-17 10:28:57,89,500,89,100,81,85,86,100,30946,500,500,500,500
88,1_lobby_aud,2015-02-17 10:28:58,100,500,100,87,75,84,83,100,30946,500,500,500,500
89,1_lobby_aud,2015-02-17 10:28:59,89,500,100,88,80,86,79,100,30946,500,500,500,500
90,1_lobby_aud,2015-02-17 10:29:00,100,500,100,89,84,86,77,100,30946,500,500,500,500
91,1_lobby_aud,2015-02-17 10:29:01,100,500,100,100,82,87,84,100,30946,500,500,500,500
92,1_lobby_aud,2015-02-17 10:29:02,100,500,100,100,100,88,84,100,30946,500,500,500,500
93,1_lobby_aud,2015-02-17 10:29:03,100,500,100,100,84,86,88,100,30946,500,500,500,500
94,1_lobby_aud,2015-02-17 10:29:04,88,500,100,100,80,86,87,100,30946,500,500,500,500
95,1_lobby_aud,2015-02-17 10:29:05,88,500,100,100,100,100,87,500,30946,500,500,500,500
96,1_lobby_aud,2015-02-17 10:29:06,100,500,100,100,81,87,87,500,30946,500,500,500,500
97,1_lobby_aud,2015-02-17 10:29:07,100,500,500,100,79,88,89,500,30946,500,500,500,500
98,1_lobby_aud,2015-02-17 10:29:08,100,500,500,100,74,87,89,500,30946,500,500,500,500
99,1_lobby_aud,2015-02-17 10:29:09,100,500,500,500,71,87,100,500,30946,500,500,500,500
100,1_lobby_aud,2015-02-17 10:29:10,100,500,500,500,67,87,89,500,30946,500,500,500,500
101,1_lobby_aud,2015-02-17 10:29:11,100,500,500,500,64,88,85,500,30946,500,500,500,500
102,1_lobby_aud,2015-02-17 10:29:12,100,500,500,500,64,89,86,500,30946,500,500,500,500
103,1_lobby_aud,2015-02-17 10:29:13,100,500,500,500,64,87,87,500,30946,500,500,500,500
104,1_lobby_aud,2015-02-17 10:29:14,500,500,500,500,69,87,86,500,30946,500,500,500,500
105,1_lobby_aud,2015-02-17 10:29:15,88,500,500,500,69,86,88,500,30946,500,500,500,500
106,1_lobby_aud,2015-02-17 10:29:16,100,500,500,500,74,86,86,500,30946,500,500,500,500
107,1_lobby_aud,2015-02-17 10:29:17,100,500,500,500,76,87,88,500,30946,500,500,500,500
108,1_lobby_aud,2015-02-17 10:29:18,100,500,89,500,80,83,87,500,30946,500,500,500,500
109,1_lobby_aud,2015-02-17 10:29:19,100,500,100,500,81,85,84,87,30946,500,500,500,500
110,1_lobby_aud,2015-02-17 10:29:20,100,500,83,500,73,87,85,88,30946,500,500,500,500
