,location,timestamp,11057,12647,12724,13846,19896,28873,31853,34946,38215,38591,40399,47682,visitor_history_id
0,location not selected,2015-02-17 10:51:27,500,500,500,500,500,500,500,86,80,500,85,100,47622
1,location not selected,2015-02-17 10:51:29,89,500,500,500,500,500,500,100,77,500,78,100,47622
2,location not selected,2015-02-17 10:51:30,100,500,500,500,500,500,500,100,76,500,78,84,47622
3,1_entrance,2015-02-17 10:51:31,100,500,500,500,500,500,500,100,77,500,74,84,47622
4,1_entrance,2015-02-17 10:51:32,100,500,500,500,500,500,500,100,80,500,73,89,47622
5,1_entrance,2015-02-17 10:51:32,100,500,500,500,500,500,500,100,80,500,73,89,47622
6,1_entrance,2015-02-17 10:51:34,100,500,500,500,500,88,500,83,75,500,82,88,47622
7,1_entrance,2015-02-17 10:51:35,100,500,500,500,500,84,500,84,77,500,81,87,47622
8,1_entrance,2015-02-17 10:51:35,100,500,500,500,500,84,500,84,77,500,81,87,47622
9,1_entrance,2015-02-17 10:51:36,88,500,500,500,500,100,500,87,78,500,79,87,47622
10,1_entrance,2015-02-17 10:51:38,88,500,500,500,500,88,500,100,81,500,83,89,47622
11,1_entrance,2015-02-17 10:51:39,100,500,500,500,500,87,500,100,77,500,78,87,47622
12,1_entrance,2015-02-17 10:51:40,100,500,500,500,500,87,500,100,76,500,76,89,47622
13,1_entrance,2015-02-17 10:51:40,100,500,500,500,500,87,500,100,76,500,76,89,47622
14,1_entrance,2015-02-17 10:51:42,100,500,500,500,500,87,500,100,84,500,83,86,47622
15,1_entrance,2015-02-17 10:51:42,100,500,500,500,500,87,500,100,84,500,83,86,47622
16,1_entrance,2015-02-17 10:51:44,89,500,500,500,500,89,500,100,80,500,78,85,47622
17,1_entrance,2015-02-17 10:51:45,89,500,500,500,500,88,500,88,82,500,79,86,47622
18,1_entrance,2015-02-17 10:51:46,100,500,500,500,500,86,500,88,84,500,80,86,47622
19,1_entrance,2015-02-17 10:51:47,100,500,500,89,500,86,500,88,85,500,81,100,47622
20,1_entrance,2015-02-17 10:51:47,100,500,500,89,500,86,500,88,85,500,81,100,47622
21,1_entrance,2015-02-17 10:51:49,100,500,500,100,500,89,500,87,100,500,100,100,47622
22,1_entrance,2015-02-17 10:51:49,100,500,500,100,500,89,500,87,100,500,100,100,47622
23,1_entrance,2015-02-17 10:51:50,100,500,500,100,500,89,500,89,85,500,87,100,47622
24,1_entrance,2015-02-17 10:51:51,100,500,500,100,500,100,500,87,100,500,100,100,47622
25,1_entrance,2015-02-17 10:51:52,100,500,500,100,500,100,500,86,100,500,100,100,47622
26,1_entrance,2015-02-17 10:51:53,100,500,500,100,500,100,500,88,100,500,100,100,47622
27,1_entrance,2015-02-17 10:51:54,500,500,500,100,500,100,500,86,100,500,100,100,47622
28,1_entrance,2015-02-17 10:51:55,500,500,500,100,500,100,500,83,100,500,100,500,47622
29,1_entrance,2015-02-17 10:51:56,500,500,500,100,500,100,500,83,100,500,100,500,47622
30,1_entrance,2015-02-17 10:51:57,500,500,500,500,500,100,500,87,100,500,100,500,47622
31,1_entrance,2015-02-17 10:51:58,500,500,500,500,500,100,500,100,100,500,100,500,47622
32,1_entrance,2015-02-17 10:51:59,500,500,500,500,500,500,500,88,100,500,100,500,47622
33,1_entrance,2015-02-17 10:52:00,500,500,500,500,500,500,500,100,500,500,500,500,47622
34,1_entrance,2015-02-17 10:52:01,500,500,500,500,500,500,500,100,500,500,500,500,47622
35,1_entrance,2015-02-17 10:52:02,500,500,500,500,500,500,500,100,500,500,500,500,47622
36,1_entrance,2015-02-17 10:52:03,500,500,500,500,500,500,500,100,500,500,500,500,47622
37,1_entrance,2015-02-17 10:52:04,500,500,500,500,500,500,500,100,500,500,500,500,47622
38,1_entrance,2015-02-17 10:52:05,500,500,500,500,500,500,500,100,500,500,500,500,47622
39,1_entrance,2015-02-17 10:52:06,500,500,500,500,500,500,500,100,500,500,500,500,47622
40,1_entrance,2015-02-17 10:52:07,500,500,500,500,500,500,500,100,500,500,500,500,47622
41,1_entrance,2015-02-17 10:52:08,500,500,500,500,500,500,500,100,500,500,500,500,47622
42,1_entrance,2015-02-17 10:52:09,500,500,500,500,500,500,500,500,500,500,500,500,47622
43,1_entrance,2015-02-17 10:52:10,500,500,500,500,500,500,500,500,500,500,500,500,47622
44,1_entrance,2015-02-17 10:52:11,500,500,500,500,500,500,500,500,500,500,500,500,47622
45,1_entrance,2015-02-17 10:52:12,500,500,500,500,500,500,500,500,500,500,500,500,47622
46,1_entrance,2015-02-17 10:52:14,500,500,500,500,500,500,500,500,500,500,500,500,47622
47,1_entrance,2015-02-17 10:52:14,500,500,500,500,500,500,500,500,500,500,500,500,47622
48,1_entrance,2015-02-17 10:52:15,500,500,500,500,500,500,500,500,500,500,500,500,47622
49,1_entrance,2015-02-17 10:52:17,500,500,500,500,500,500,500,500,500,500,500,500,47622
50,1_entrance,2015-02-17 10:52:18,500,500,500,500,500,500,500,500,500,500,87,500,47622
51,1_entrance,2015-02-17 10:52:18,500,500,500,500,500,500,500,500,500,500,87,500,47622
52,1_entrance,2015-02-17 10:52:19,500,500,500,500,500,500,500,500,500,500,100,500,47622
53,1_entrance,2015-02-17 10:52:21,500,500,500,500,500,100,500,500,500,500,100,500,47622
54,1_entrance,2015-02-17 10:52:21,500,500,500,500,500,100,500,500,500,500,100,500,47622
55,1_entrance,2015-02-17 10:52:23,500,500,500,500,500,84,500,500,100,500,100,500,47622
56,1_entrance,2015-02-17 10:52:23,500,500,500,500,500,84,500,500,100,500,100,500,47622
57,1_entrance,2015-02-17 10:52:25,500,500,500,500,500,100,500,88,100,500,100,500,47622
58,1_entrance,2015-02-17 10:52:26,500,500,500,500,500,100,500,89,100,500,100,500,47622
59,1_entrance,2015-02-17 10:52:27,500,500,500,500,500,100,500,88,100,500,100,500,47622
60,1_entrance,2015-02-17 10:52:28,500,500,500,500,500,100,500,87,74,500,100,500,47622
61,1_entrance,2015-02-17 10:52:28,500,500,500,500,500,100,500,87,74,500,100,500,47622
62,1_entrance,2015-02-17 10:52:30,500,500,500,500,500,100,500,100,75,500,84,500,47622
63,1_entrance,2015-02-17 10:52:31,500,500,500,500,500,100,500,100,100,500,100,500,47622
64,1_entrance,2015-02-17 10:52:32,500,500,500,500,500,100,500,87,100,500,100,500,47622
65,1_entrance,2015-02-17 10:52:33,500,500,500,500,500,89,500,87,100,500,100,500,47622
66,1_entrance,2015-02-17 10:52:33,500,500,500,500,500,89,500,87,100,500,100,500,47622
67,1_entrance,2015-02-17 10:52:35,500,500,500,500,500,100,500,81,100,500,100,500,47622
68,1_entrance,2015-02-17 10:52:36,500,500,500,500,500,86,500,100,80,500,79,500,47622
69,1_entrance,2015-02-17 10:52:37,500,500,500,500,500,100,500,88,100,500,100,500,47622
70,1_entrance,2015-02-17 10:52:38,500,500,500,500,500,100,500,87,81,500,100,500,47622
71,1_entrance,2015-02-17 10:52:38,500,500,500,500,500,100,500,87,81,500,100,500,47622
72,1_entrance,2015-02-17 10:52:40,86,500,500,500,500,100,500,84,79,500,88,87,47622
73,1_entrance,2015-02-17 10:52:41,100,500,500,500,500,88,500,88,100,500,100,89,47622
74,1_entrance,2015-02-17 10:52:42,100,500,500,500,500,100,500,82,84,500,83,89,47622
75,1_entrance,2015-02-17 10:52:43,100,500,500,500,500,100,500,100,100,500,100,80,47622
76,1_entrance,2015-02-17 10:52:43,100,500,500,500,500,100,500,100,100,500,100,80,47622
